Duration,Total_Stops,Price,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
170,0,3897,24,3,22,20,1,10,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
445,2,7662,1,5,5,50,13,15,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1140,2,13882,9,6,9,25,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
325,1,6218,12,5,18,5,23,30,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
285,1,13302,1,3,16,50,21,35,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
145,0,3873,24,6,9,0,11,25,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
930,1,11087,12,3,18,55,10,25,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1265,1,22270,1,3,8,0,5,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1530,1,11087,12,3,8,55,10,25,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
470,1,8625,27,5,11,25,19,15,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
795,1,8907,1,6,9,45,23,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
155,0,4174,18,4,20,20,22,55,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
135,0,4667,24,6,11,40,13,55,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
730,1,9663,9,5,21,10,9,20,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
155,0,4804,24,4,17,15,19,50,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1595,2,14011,3,3,16,40,19,15,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
270,1,5830,15,4,8,45,13,15,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
1355,1,10262,12,6,14,0,12,35,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
